측정연도,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
2022,강남구,0.023,0.03,0.4,0.003,32.25,17.667
2022,강남대로,0.032,0.019,0.633,0.003,37.583,19.417
2022,강동구,0.02,0.025,0.375,0.003,33.917,18.917
2022,강변북로,0.032,0.02,0.55,0.003,35.833,19.25
2022,강북구,0.015,0.032,0.4,0.002,33.667,18.25
2022,강서구,0.022,0.03,0.475,0.003,36.25,18.583
2022,공항대로,0.029,0.024,0.45,0.003,37.083,19.667
2022,관악구,0.024,0.027,0.483,0.003,34.333,18.25
2022,관악산,0.009,0.045,0.367,0.003,28.75,16.0
2022,광진구,0.019,0.027,0.475,0.003,31.5,18.25
2022,구로구,0.02,0.03,0.367,0.003,35.417,17.0
2022,금천구,0.022,0.029,0.4,0.003,31.417,18.667
2022,남산,0.019,0.036,0.533,0.003,29.0,15.083
2022,노원구,0.021,0.03,0.467,0.003,33.25,20.583
2022,도봉구,0.016,0.031,0.467,0.003,29.417,17.0
2022,도산대로,0.026,0.026,0.567,0.003,37.0,19.5
2022,동대문구,0.021,0.032,0.433,0.003,33.417,19.0
2022,동작구,0.022,0.031,0.4,0.003,35.333,20.417
2022,동작대로,0.034,0.024,0.542,0.003,37.5,19.667
2022,마포구,0.023,0.03,0.417,0.003,30.083,17.917
2022,마포아트센터,0.022,0.036,0.467,0.003,32.917,16.75
2022,북한산,0.009,0.035,0.325,0.002,26.0,15.5
2022,서대문구,0.018,0.03,0.558,0.003,31.083,16.5
2022,서울숲,0.02,0.027,0.558,0.003,34.25,15.917
2022,서초구,0.022,0.028,0.408,0.002,32.75,17.667
2022,성동구,0.021,0.028,0.367,0.003,34.667,16.5
2022,성북구,0.024,0.028,0.508,0.003,33.25,17.833
2022,세곡,0.023,0.025,0.608,0.003,36.083,18.417
2022,송파구,0.024,0.027,0.467,0.003,34.083,18.5
2022,시흥대로,0.035,0.022,0.508,0.003,36.583,18.417
2022,신촌로,0.034,0.022,0.575,0.003,39.25,20.25
2022,양천구,0.021,0.027,0.45,0.003,34.25,20.5
2022,영등포구,0.023,0.028,0.45,0.003,32.417,18.417
2022,영등포로,0.031,0.023,0.525,0.003,34.333,19.583
2022,올림픽공원,0.02,0.032,0.508,0.003,31.333,19.333
2022,용산구,0.021,0.03,0.417,0.003,33.25,19.0
2022,은평구,0.017,0.03,0.467,0.003,32.083,19.083
2022,자연사박물관,0.018,0.036,0.55,0.003,30.167,16.0
2022,정릉로,0.034,0.022,0.492,0.003,35.667,19.917
2022,종로,0.024,0.025,0.525,0.003,34.583,17.417
2022,종로구,0.021,0.031,0.492,0.003,31.75,19.417
2022,중구,0.024,0.031,0.433,0.003,29.917,19.417
2022,중랑구,0.021,0.031,0.392,0.003,32.917,18.25
2022,천호대로,0.031,0.022,0.483,0.003,36.917,18.917
2022,청계천로,0.026,0.026,0.517,0.004,36.833,19.833
2022,한강대로,0.029,0.02,0.55,0.003,42.167,19.083
2022,항동,0.019,0.028,0.5,0.003,32.5,16.167
2022,행주,0.017,0.028,0.467,0.003,33.5,16.583
2022,홍릉로,0.028,0.024,0.483,0.003,35.417,20.5
2022,화랑로,0.034,0.022,0.492,0.003,32.333,18.583
